filename,public_id,folder,url,cloudinary_url,format,width,height,size_kb,created_at,resource_type
panel-006_eoe2fb,panel-006_eoe2fb,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223535/panel-006_eoe2fb.jpg,cloudinary://dk9ywbxu1/image/upload/panel-006_eoe2fb,jpg,720,5649,340,2025-10-23T12:45:35Z,image
panel-002_oom9al,panel-002_oom9al,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223535/panel-002_oom9al.jpg,cloudinary://dk9ywbxu1/image/upload/panel-002_oom9al,jpg,720,6300,204,2025-10-23T12:45:35Z,image
panel-004_xtybvz,panel-004_xtybvz,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223535/panel-004_xtybvz.jpg,cloudinary://dk9ywbxu1/image/upload/panel-004_xtybvz,jpg,720,6694,336,2025-10-23T12:45:35Z,image
panel-010_xprnbq,panel-010_xprnbq,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223525/panel-010_xprnbq.jpg,cloudinary://dk9ywbxu1/image/upload/panel-010_xprnbq,jpg,720,6403,559,2025-10-23T12:45:25Z,image
panel-018_loqoym,panel-018_loqoym,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223525/panel-018_loqoym.jpg,cloudinary://dk9ywbxu1/image/upload/panel-018_loqoym,jpg,720,6286,199,2025-10-23T12:45:25Z,image
panel-001_z9tfel,panel-001_z9tfel,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223525/panel-001_z9tfel.jpg,cloudinary://dk9ywbxu1/image/upload/panel-001_z9tfel,jpg,600,700,73,2025-10-23T12:45:25Z,image
panel-016_yukg5u,panel-016_yukg5u,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223524/panel-016_yukg5u.jpg,cloudinary://dk9ywbxu1/image/upload/panel-016_yukg5u,jpg,720,5217,296,2025-10-23T12:45:24Z,image
panel-017_bzlqhs,panel-017_bzlqhs,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223524/panel-017_bzlqhs.jpg,cloudinary://dk9ywbxu1/image/upload/panel-017_bzlqhs,jpg,720,6035,246,2025-10-23T12:45:24Z,image
panel-013_xwpp9t,panel-013_xwpp9t,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223524/panel-013_xwpp9t.jpg,cloudinary://dk9ywbxu1/image/upload/panel-013_xwpp9t,jpg,720,6280,386,2025-10-23T12:45:24Z,image
panel-014_zcor7n,panel-014_zcor7n,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223523/panel-014_zcor7n.jpg,cloudinary://dk9ywbxu1/image/upload/panel-014_zcor7n,jpg,720,5704,226,2025-10-23T12:45:23Z,image
